开始时间,结束时间,任务分类,任务详情
12:40:24,13:01:23,开发,在文件资源管理器中浏览D:\pycharmProjects\Tracker目录。
13:01:23,13:02:26,社交,使用QQ进行即时通讯。
13:02:26,13:03:48,知识库,使用Obsidian进行知识管理，创建账号或登录Gemini Business。
13:03:48,13:07:37,AI,使用 Microsoft Edge 访问 localhost:8502 进行 AI 时间追踪仪表盘的操作
13:07:37,13:10:55,知识库,在 Obsidian 中编辑 Python 代码注释，属于 Gemini Enterprise 项目
13:10:55,13:14:53,开发,在 PyCharm 中编辑 tracker.py 文件
13:14:53,13:23:32,知识库,继续在 Obsidian 中编辑 Python 代码注释，属于 Gemini Enterprise 项目
13:23:32,13:25:31,开发,继续在 PyCharm 中编辑 tracker.py 文件
13:25:31,13:30:02,知识库,使用 Obsidian 整理 Gemini Enterprise 仓库的知识点
13:30:02,13:31:09,AI,在 ChatGPT 上讨论期望差值模型评估
13:31:09,13:36:00,知识库,继续使用 Obsidian 整理 Gemini Enterprise 仓库的知识点
13:36:00,13:39:41,开发,查阅 CSDN 博客关于 PyTorch 安装及使用 GPU 的解决方案
13:39:41,13:42:54,知识库,继续使用 Obsidian 整理 Gemini Enterprise 仓库的知识点
13:42:54,13:43:38,开发,编写代码(CVRP – train.py) - 使用PyCharm进行代码编写
13:43:38,13:45:23,知识库,使用Obsidian整理知识 - 整理Gemini Enterprise相关知识
13:45:23,13:47:12,开发,编写代码(CVRP – train.py) - 使用PyCharm进行代码编写
13:47:12,13:49:35,知识库,使用Obsidian整理知识 - 整理Gemini Enterprise相关知识
13:49:35,13:50:40,知识库,阅读和编辑文档 - 基于人工智能技术的CVRP问题求解模型的框架设计与评估
13:50:40,13:52:36,知识库,使用Obsidian整理知识 - Gemini Enterprise - Ob仓库 - Obsidian v1.10.6
13:52:36,14:00:34,AI,使用ChatGPT查询Encoder的意思 - URL: chatgpt.com/c/693a5715-583c-8320-9536-6406692649b9
14:00:34,14:03:56,开发,在PyCharm中编写代码 - CVRP – train.py
14:03:56,14:07:43,知识库,使用Obsidian整理知识 - Gemini Enterprise - Ob仓库 - Obsidian v1.10.6
14:07:43,14:10:13,开发,在PyCharm中编写代码 - Tracker – tracker.py
14:10:13,14:12:29,知识库,使用 Obsidian 整理 Gemini Enterprise 相关知识
14:12:29,14:13:11,学习,阅读并编辑基于人工智能技术的CVRP问题求解模型的框架设计与评估文档
14:13:11,14:14:45,开发,在 PyCharm 中编写 CVRP 训练代码
14:14:45,14:15:35,学习,继续阅读并编辑基于人工智能技术的CVRP问题求解模型的框架设计与评估文档
14:15:35,14:17:02,知识库,继续使用 Obsidian 整理 Gemini Enterprise 相关知识
14:17:02,14:17:44,系统,F:\桌面资料\代办\人工智能作业\大作业\CVRP - 文件资源管理器 (浏览文件夹)
14:17:44,14:18:22,知识库,Gemini Enterprise - Ob仓库 - Obsidian v1.10.6 (使用笔记软件)
14:18:22,14:20:04,娱乐,https://m.thepaper.cn/newsDetail_forward_29226797 (浏览新闻网站)
