开始时间,结束时间,任务分类,任务详情
19:32:39,19:37:28,AI,使用Microsoft Edge浏览AI时间追踪仪表盘，同时打开多个页面，活跃度高。
19:37:28,19:51:54,系统,桌面整理，活跃度低。
19:51:54,02:55:15,系统,使用文件资源管理器 (Program Manager)，活跃度中。
02:55:15,12:57:20,系统,桌面整理，活跃度中。
12:57:20,13:03:08,开发,使用Microsoft Edge访问AutoDL算力云平台，查看GPU算力实例列表，同时打开多个页面，活跃度中。
13:03:08,13:05:23,系统,桌面整理 - 用户在桌面上进行了文件整理或调整图标位置。
13:05:23,13:09:44,AI,使用ChatGPT - 用户在ChatGPT上查阅了关于POMO CVRP GitHub实例的内容。
13:09:44,13:10:58,开发,查阅技术文档 - 用户在GitHub上查看了mit-wu-lab/learning-to-delegate项目，涉及大规模车辆路径规划的委托学习。
13:10:58,13:12:08,开发,编写代码 - 用户在Notepad中编写或编辑了基于人工智能技术的CVRP问题求解模型的框架设计与评估。
13:12:08,13:22:18,知识库,使用Obsidian - 用户在Obsidian中创建或编辑了与Gemini Business相关的笔记。
13:22:18,13:23:06,AI,使用ChatGPT进行技术问题咨询 - POMO CVRP GitHub实例 - Google Chrome
13:23:06,13:23:54,开发,在PyCharm中编写或调试NeuroLKH代码
13:23:54,13:24:43,系统,调整鼠标设置 - Cursor Settings - NeuroLKH - Cursor [管理员]
13:24:43,13:28:29,AI,登录Cursor平台 - 新建标签页 和另外 16 个页面 - 个人 - Microsoft Edge
13:28:29,13:34:58,AI,查阅Cursor官方文档中的套餐与用量信息 - 套餐与用量 - Cursor 官方文档中文版 和另外 19 个页面 - 个人 - Microsoft Edge
13:34:58,13:36:32,开发,编写论文或技术文档 - 基于人工智能技术的CVRP问题求解模型的框架设计与评估 - Notepad
13:36:32,13:39:48,开发,终端操作 - NeuroLKH - Cursor [管理员]
13:39:48,13:41:12,办公,查看和编辑文档 - 新建标签页 和另外 18 个页面 - 个人 - Microsoft Edge
13:41:12,13:44:19,开发,终端操作 - NeuroLKH - Cursor [管理员]
13:44:19,13:45:07,开发,查阅技术文档 - Release v1.11.03 · yeongpin/cursor-free-vip 和另外 19 个页面 - 个人 - Microsoft Edge
13:45:07,13:45:56,系统,安装 - Cursor（安装文件资源管理器中的程序）
13:45:56,13:47:12,开发,在终端中运行安装命令（F:\浏览器下载\CursorFreeVIP_1.11.03_windows.exe）
13:47:12,13:52:11,开发,使用Cursor工具进行开发操作（NeuroLKH - Cursor [管理员]）
13:52:11,13:54:57,知识库,使用Obsidian创建账号或登录（创建账号或登录 - Gemini Business - Ob仓库 - Obsidian v1.10.6）
13:54:57,13:56:07,开发,查阅技术文档（LKH-3（凯尔德·赫尔斯高恩） --- LKH-3 (Keld Helsgaun) 和另外 23 个页面 - 个人 - Microsoft​ Edge）
13:56:07,13:56:57,系统,文件资源管理器操作 - 程序管理器
13:56:57,13:57:47,娱乐,听音乐 - 青い砂時計 - 冈崎律子
13:57:47,14:04:20,知识库,使用Obsidian整理知识 - 创建账号或登录 - Gemini Business
14:04:20,14:10:50,开发,查阅GitHub上的技术文档 - 大规模车辆路径规划的委托学习
14:10:50,14:13:28,知识库,使用Obsidian整理知识 - CVRP求解器重构 - Gemini Enterprise
14:13:28,14:14:21,系统,F:\桌面资料\代办\人工智能作业\大作业\NeuroLKH 和 1 个其他选项卡 - 文件资源管理器 (高活跃度)
14:14:21,14:15:05,知识库,Gemini Enterprise - Ob仓库 - Obsidian v1.10.6 (中活跃度)
14:15:05,14:16:38,系统,Cursor Settings - NeuroLKH - Cursor [管理员] (高活跃度)
14:16:38,14:17:41,开发,run_hgs.py – supervised.py (中活跃度)
14:17:41,14:20:41,知识库,Gemini Enterprise - Ob仓库 - Obsidian v1.10.6 (中活跃度)
14:20:41,14:21:28,开发,编写代码(PyCharm): 运行run_hgs.py脚本
14:21:28,14:25:11,知识库,使用Obsidian整理知识: 编辑Gemini Enterprise - Ob仓库
14:25:11,14:27:06,开发,编写代码(PyCharm): 继续运行run_hgs.py脚本
14:27:06,14:28:19,知识库,使用Obsidian整理知识: 编辑Gemini Enterprise - Ob仓库
14:28:19,14:42:34,开发,调试代码(Cursor): 编辑test_setup.py文件 (NeuroLKH项目)
